Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Belgium,BEL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.2308189,1.1205719,1.1695968,1.2282716,1.3103839,1.1646047,1.1947395
Bulgaria,BGR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.0244659,0.0359426,-0.0577385999999999,-0.0148069999999999,-0.0737381,0.1061571,0.0428203
Croatia,HRV,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.4927546,0.4191078,0.5056587,0.7557995,0.7162336,0.7487411,0.7097625
Cyprus,CYP,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.860738,0.9974556,1.0026015,0.86,0.9509266,0.9314768,0.8696373
Czechia,CZE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0258091,0.971418,1.0855924,1.1010113,1.1951482,1.2354239,1.1773279
Denmark,DNK,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.920528,1.9444854,1.9999488,2.1905145,2.0983389,1.9559634,1.9128986
Estonia,EST,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.2651627,1.1953645,1.3201957,1.3707206,1.3587321,1.2678954,1.2969908
Finland,FIN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,2.1598194,2.1491065,2.1354229,2.1560517,1.8972063,1.787685,1.8171611
France,FRA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.5186813,1.4821333,1.4906558,1.5363267,1.4637769,1.3517693,1.2007009
Greece,GRC,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.3398991,0.4589741,0.5867351,0.5727218,0.5636045,0.2578486,0.1912731
Germany,DEU,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.8019092,1.8881241,1.7812546,1.8265941,1.7792628,1.5613864,1.5462994
Hungary,HUN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.6259032,0.5238239,0.7208016,0.784219,0.657731,0.5461907,0.501908
Ireland,IRL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4575251,1.3035565,1.5003528,1.6184384,1.7057914,1.6609005,1.6115533
Italy,ITA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.4350955,0.4586098,0.5477288,0.574774,0.7178718,0.8533467,0.7922891
Latvia,LVA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7981066,0.8291601,0.7965198,0.8795712,0.7275574,0.6374221,0.7431802
Lithuania,LTU,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.86117,0.8510012,0.9591268,0.9787009,0.9431482,0.9448653,1.2014922
Luxembourg,LUX,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.9421635,1.9821714,1.9824291,1.9512038,1.9655271,2.1455984,2.0397137
Malta,MLT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0139731,0.9937489,1.0778299,1.0227164,0.9128888,0.7610244,0.622496
Netherlands,NLD,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,2.0295602,2.0639557,2.0397583,1.8535742,1.7650127,1.7511282,1.7519974
Portugal,PRT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0601732,1.0136875,1.0987347,1.1677599,1.0219923,0.9658494,0.9474847
Poland,POL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.6921258,0.6631417,0.6765763,0.5887761,0.515427,0.6341038,0.6734027
Slovak Republic,SVK,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.5296453,0.4384097,0.6975922,0.7366757,0.7960113,0.5846525,0.6575804
Slovenia,SVN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.3001457,1.2721351,1.3704336,1.3440925,1.2580894,1.1624609,1.0893351
Spain,ESP,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0702333,1.118598,1.0477979,1.1202722,1.1419015,1.0779914,1.110811
Sweden,SWE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.9184315,1.8924006,1.980777,1.9668155,1.9149251,1.6930218,1.7746948
Austria,AUT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.6043579,1.7527565,1.9079985,1.8163061,1.7373291,1.5790569,1.5145106
Romania,ROU,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.102106999999999,-0.1453557,-0.249980099999999,-0.0777119,0.199031,0.1319311,0.4181246
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,
Last Updated: 03/18/2026,,,,,,,,,,
